The Economist,2005,Nonfiction,The Rise of American Democracy: Jefferson to Lincoln,Sean Wilentz,,
The Economist,2009,Nonfiction,The Storm of War: A New History of the Second World War,Andrew Roberts,,
The Economist,2011,Nonfiction,"The Sugar Barons: Family, Corruption, Empire, and War in the West Indies",Matthew Parker,,
The Economist,2006,Nonfiction,The Trial of Queen Caroline: The Scandalous Affair that Nearly Ended a Monarchy ,Jane Robins,,
The Economist,2007,Nonfiction,"The Verneys: A True Story of Love, War and Madness in Seventeenth-Century England",Adrian Tinniswood,,
The Economist,2002,Nonfiction,The Victorians,A.N.Wilson,,
The Economist,2006,Nonfiction,The Wages of Destruction: The Making and Breaking of the Nazi Economy,Adam Tooze,,
The Economist,2010,Nonfiction,The Warmth of Other Suns: The Epic Story of America's Great Migration,Isabel Wilkerson,,
The Economist,2008,Nonfiction,The White War: Life and Death on the Italian Front 1915-1919,Mark Thompson,,
The Economist,2003,Nonfiction,"They Marched into Sunlight: War and Peace, Vietnam and America, October 1967",David Maraniss,,
The Economist,2012,Nonfiction,Tombstone: The Great Chinese Famine 1958-1962,Yang Jisheng,,
The Economist,2006,Nonfiction,Twelve Days: The Story of the 1956 Hungarian Revolution,Victor Sebestyen,,
The Economist,2012,Nonfiction,Unfinished Empire: The Global Expansion of Britain,John Darwin,,
The Economist,2003,Nonfiction,Venice: Fragile City 1797-1997, Margaret Plant,,
